fold,n_train,n_test,train_base_rate,test_base_rate,brier,log_loss,roc_auc,naive_brier,naive_log_loss,model
2014,28358,6240,0.34015092742788633,0.35657051282051283,0.23324462548198513,0.6676212999047286,0.5354100773783704,0.2296975849918951,0.6520155101309391,logreg
2015,34598,6312,0.34215850627203886,0.29245880861850443,0.21160686715631974,0.6139766664133618,0.552248746882064,0.20939671382680217,0.6099686408255268,logreg
2016,40910,6344,0.3353458812026399,0.3171500630517024,0.21748330180984415,0.6266996480403467,0.527780454851684,0.21689698835618554,0.6254522185291836,logreg
2017,47254,6280,0.3314851652770136,0.3463375796178344,0.22443167862386845,0.6399728348096424,0.5715188934156552,0.22660845477404598,0.6456440285112391,logreg
2018,53539,6265,0.3341862941033639,0.3120510774142059,0.21444502269056787,0.620253736612569,0.543961524083052,0.2151651703167151,0.6218457042441075,logreg
2019,59804,6202,0.3319343187746639,0.3087713640761045,0.218408036538138,0.6433718742194272,0.5383919201959169,0.21396813127305372,0.6193387241210669,logreg
2020,66001,6464,0.3296616717928516,0.3306002475247525,0.2204768934036173,0.7291031308251936,0.5804656292409945,0.2213046047857294,0.6346048997264613,logreg
2021,72465,6420,0.32924860277375284,0.3364485981308411,0.22301339466169565,0.6386797820045961,0.5402983176838811,0.22330277887977493,0.638768642257873,logreg
2022,78885,6473,0.32954300564112315,0.3329213656727947,0.2215369660153498,0.6349366024857029,0.5340929729218542,0.2220961432678596,0.6362540160675665,logreg
2023,85353,6615,0.3304629011282556,0.37671957671957673,0.2343867883387476,0.6615886153317296,0.5425927605738313,0.23694161727256044,0.6671674475554745,logreg
2024,91968,6642,0.33370302713987476,0.331225534477567,0.22146344399435494,0.6349561921394986,0.5310110106012852,0.22152131775750886,0.6350569664722325,logreg
2025,98610,6695,0.33343474292668085,0.3294996265870052,0.21992729337399214,0.6313594355479802,0.5494295817700445,0.22094510780663618,0.6338586177618131,logreg
2026,105305,4424,0.3329566497317316,0.26017179023508136,0.1991470679961109,0.5881369471278638,0.5456860398229677,0.19778006557290131,0.5856787208787114,logreg
2014,28358,6240,0.34015092742788633,0.35657051282051283,0.23779785730325656,0.6745530500580877,0.5310483999608211,0.2296975849918951,0.6520155101309391,gbm
2015,34598,6312,0.34215850627203886,0.29245880861850443,0.21769423148701333,0.6260522356329498,0.548699539896723,0.20939671382680217,0.6099686408255268,gbm
2016,40910,6344,0.3353458812026399,0.3171500630517024,0.22362106303492946,0.6407711724419939,0.535864223706698,0.21689698835618554,0.6254522185291836,gbm
2017,47254,6280,0.3314851652770136,0.3463375796178344,0.2298419380903948,0.6540993918978065,0.529659316504963,0.22660845477404598,0.6456440285112391,gbm
2018,53539,6265,0.3341862941033639,0.3120510774142059,0.2146449825338393,0.620608671204991,0.5624138831362263,0.2151651703167151,0.6218457042441075,gbm
2019,59804,6202,0.3319343187746639,0.3087713640761045,0.21898191314683005,0.63052172754201,0.5273775047642365,0.21396813127305372,0.6193387241210669,gbm
2020,66001,6464,0.3296616717928516,0.3306002475247525,0.22524490725053292,0.6431998183721289,0.5536318027460099,0.2213046047857294,0.6346048997264613,gbm
2021,72465,6420,0.32924860277375284,0.3364485981308411,0.2254915236330124,0.6444985134414679,0.5370884411406711,0.22330277887977493,0.638768642257873,gbm
2022,78885,6473,0.32954300564112315,0.3329213656727947,0.2234921794659588,0.6398336562510207,0.5400061148013657,0.2220961432678596,0.6362540160675665,gbm
2023,85353,6615,0.3304629011282556,0.37671957671957673,0.23508637036075256,0.6632348949124623,0.551247961461153,0.23694161727256044,0.6671674475554745,gbm
2024,91968,6642,0.33370302713987476,0.331225534477567,0.22355288420280714,0.6398878927988004,0.5332981662641727,0.22152131775750886,0.6350569664722325,gbm
2025,98610,6695,0.33343474292668085,0.3294996265870052,0.22543183661703223,0.6441912347543461,0.5272260670639037,0.22094510780663618,0.6338586177618131,gbm
2026,105305,4424,0.3329566497317316,0.26017179023508136,0.2021235851897079,0.5933780815353294,0.565270226901885,0.19778006557290131,0.5856787208787114,gbm
